SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME
22024,1641737,0022400555,,PHI vs. OKC,L,17,3,3,1.0,0,0,0.0,1,1,1.0,1,2,3,0,0,0,3,3,7,-3,1,Adem Bona
22024,1641737,0022400544,,PHI @ ORL,L,15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,1,1,0,4,1,Adem Bona
22024,1641737,0022400527,,PHI vs. NOP,L,14,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,2,1,4,0,-10,1,Adem Bona
22024,1641737,0022400512,,PHI vs. WAS,W,14,0,1,0.0,0,0,0.0,2,2,1.0,2,1,3,2,0,3,0,2,2,-10,1,Adem Bona
22024,1641737,0022400494,,PHI vs. PHX,L,11,1,2,0.5,0,0,0.0,2,4,0.5,1,4,5,0,0,1,1,3,4,-4,1,Adem Bona
22024,1641737,0022400478,,PHI @ BKN,W,7,2,2,1.0,0,0,0.0,2,4,0.5,0,3,3,1,0,1,2,1,6,3,1,Adem Bona
22024,1641737,0022400467,,PHI @ GSW,L,9,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,1,2,1,2,0,-4,1,Adem Bona
22024,1641737,0022400447,,PHI @ POR,W,4,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,2,2,-3,1,Adem Bona
22024,1641737,0022400380,,PHI @ CLE,L,12,1,1,1.0,0,0,0.0,1,1,1.0,1,2,3,1,0,0,0,1,3,-4,1,Adem Bona
22024,1641737,0022400322,,PHI vs. ORL,L,14,0,3,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,2,0,-12,1,Adem Bona
22024,1641737,0022400050,,PHI @ CHA,W,14,2,2,1.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,2,2,6,4,1,Adem Bona
22024,1641737,0022400301,,PHI @ DET,W,20,1,2,0.5,0,0,0.0,2,3,0.667,1,4,5,0,0,3,2,4,4,9,1,Adem Bona
22024,1641737,0022400274,,PHI vs. LAC,L,9,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-5,1,Adem Bona
22024,1641737,0022400245,,PHI @ MIA,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,Adem Bona
22024,1641737,0022400010,,PHI @ ORL,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,1,Adem Bona
22024,1641737,0022400220,,PHI vs. CLE,L,17,2,3,0.667,0,0,0.0,0,0,0.0,3,6,9,0,0,1,1,3,4,-4,1,Adem Bona
22024,1641737,0022400004,,PHI vs. NYK,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,Adem Bona
22024,1641737,0022400195,,PHI @ LAL,L,2,1,1,1.0,0,0,0.0,1,1,1.0,0,1,1,0,0,1,0,0,3,4,1,Adem Bona
22024,1641737,0022400179,,PHI @ LAC,L,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,7,1,Adem Bona
22024,1641737,0022400142,,PHI vs. MEM,L,1,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,2,-1,1,Adem Bona
22024,1641737,0022400120,,PHI vs. DET,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,7,1,Adem Bona
22024,1641737,0022400078,,PHI @ TOR,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,Adem Bona
22024,1641737,0022400066,,PHI vs. MIL,L,3,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,3,1,Adem Bona
22024,1641710,0022401156,,ORL vs. BOS,,21,2,6,0.333,2,3,0.667,0,0,0.0,1,1,2,2,2,1,0,1,6,15,0,Anthony Black
22024,1641710,0022401149,,ORL vs. ATL,W,21,3,7,0.429,1,2,0.5,1,1,1.0,0,1,1,2,0,1,0,3,8,-6,1,Anthony Black
22024,1641710,0022401112,,ORL @ WAS,W,23,3,10,0.3,0,3,0.0,0,1,0.0,1,2,3,4,1,2,0,2,6,12,1,Anthony Black
22024,1641710,0022400988,,ORL @ SAS,W,20,2,6,0.333,0,2,0.0,0,0,0.0,1,1,2,3,3,2,1,1,4,13,1,Anthony Black
22024,1641710,0022401091,,ORL vs. LAC,L,19,3,10,0.3,0,2,0.0,2,2,1.0,0,1,1,2,2,0,2,0,8,-14,1,Anthony Black
22024,1641710,0022401074,,ORL vs. SAC,W,25,3,7,0.429,1,1,1.0,1,1,1.0,0,4,4,2,2,0,5,4,8,15,1,Anthony Black
22024,1641710,0022401060,,ORL vs. DAL,L,26,5,10,0.5,1,4,0.25,3,3,1.0,0,3,3,3,0,2,2,2,14,-9,1,Anthony Black
22024,1641710,0022401045,,ORL @ CHA,W,30,8,18,0.444,2,8,0.25,2,2,1.0,3,2,5,0,1,2,0,5,20,17,1,Anthony Black
22024,1641710,0022401038,,ORL vs. LAL,W,30,7,10,0.7,3,5,0.6,0,0,0.0,2,3,5,6,1,1,1,2,17,15,1,Anthony Black
22024,1641710,0022401014,,ORL @ WAS,W,26,5,7,0.714,1,1,1.0,2,2,1.0,2,4,6,6,0,1,5,2,13,-9,1,Anthony Black
22024,1641710,0022400999,,ORL vs. HOU,L,22,3,7,0.429,0,4,0.0,1,1,1.0,0,4,4,3,1,1,3,1,7,-11,1,Anthony Black
22024,1641710,0022400979,,ORL @ CLE,W,22,5,7,0.714,3,3,1.0,4,6,0.667,0,3,3,2,2,0,2,2,17,9,1,Anthony Black
22024,1641710,0022400963,,ORL @ MIN,L,20,2,8,0.25,0,2,0.0,2,2,1.0,2,2,4,2,0,0,0,1,6,4,1,Anthony Black
22024,1641710,0022401141,,ORL @ NOP,W,18,2,4,0.5,2,3,0.667,0,0,0.0,0,1,1,2,1,1,1,1,6,0,1,Anthony Black
22024,1641710,0022400934,,ORL @ HOU,L,20,0,4,0.0,0,1,0.0,3,4,0.75,0,2,2,2,1,0,0,2,3,-4,1,Anthony Black
22024,1641710,0022400917,,ORL @ MIL,W,18,5,9,0.556,1,2,0.5,0,0,0.0,0,2,2,0,1,1,2,1,11,-6,1,Anthony Black
22024,1641710,0022400944,,ORL vs. CHI,L,20,3,4,0.75,2,3,0.667,0,2,0.0,0,3,3,2,2,1,2,0,8,-9,1,Anthony Black
22024,1641710,0022400883,,ORL vs. TOR,L,15,1,4,0.25,0,2,0.0,3,4,0.75,2,0,2,1,1,0,1,3,5,1,1,Anthony Black
22024,1641710,0022400870,,ORL vs. TOR,L,14,1,6,0.167,0,0,0.0,5,6,0.833,0,1,1,2,0,0,1,3,7,-21,1,Anthony Black
22024,1641710,0022400845,,ORL vs. GSW,L,20,2,10,0.2,1,4,0.25,0,0,0.0,1,1,2,2,2,0,0,1,5,6,1,Anthony Black
22024,1641710,0022400830,,ORL vs. CLE,L,22,1,5,0.2,0,2,0.0,0,0,0.0,0,4,4,2,1,1,4,1,2,-23,1,Anthony Black
22024,1641710,0022400815,,ORL vs. WAS,W,27,7,12,0.583,4,5,0.8,5,5,1.0,0,7,7,3,1,1,2,4,23,12,1,Anthony Black
22024,1641710,0022400798,,ORL vs. MEM,L,15,0,3,0.0,0,1,0.0,0,2,0.0,1,5,6,2,0,0,1,1,0,-5,1,Anthony Black
22024,1641710,0022400790,,ORL @ ATL,W,15,4,7,0.571,0,0,0.0,2,2,1.0,2,0,2,0,2,2,0,2,10,-1,1,Anthony Black
22024,1641710,0022400770,,ORL vs. CHA,W,24,8,13,0.615,2,4,0.5,0,1,0.0,1,3,4,3,1,2,1,1,18,14,1,Anthony Black
22024,1641710,0022400756,,ORL vs. ATL,L,34,2,6,0.333,0,2,0.0,2,3,0.667,2,4,6,5,1,0,1,1,6,5,1,Anthony Black
22024,1641710,0022400743,,ORL vs. SAS,W,27,8,9,0.889,3,3,1.0,1,1,1.0,0,1,1,1,2,0,1,2,20,22,1,Anthony Black
22024,1641710,0022400730,,ORL @ DEN,L,26,2,6,0.333,0,3,0.0,4,5,0.8,1,0,1,4,2,0,3,1,8,-5,1,Anthony Black
22024,1641710,0022400727,,ORL @ SAC,W,16,4,10,0.4,1,3,0.333,6,6,1.0,1,0,1,3,1,0,0,3,15,15,1,Anthony Black
22024,1641710,0022400708,,ORL @ GSW,L,16,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,-11,1,Anthony Black
22024,1641710,0022400687,,ORL @ UTA,L,32,1,7,0.143,1,4,0.25,1,1,1.0,1,3,4,3,0,0,0,2,4,-18,1,Anthony Black
22024,1641710,0022400678,,ORL @ POR,L,19,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,2,2,0,-17,1,Anthony Black
22024,1641710,0022400652,,ORL @ MIA,L,42,6,11,0.545,2,3,0.667,0,1,0.0,0,1,1,3,5,1,1,2,14,-12,1,Anthony Black
22024,1641710,0022400638,,ORL vs. DET,W,19,2,6,0.333,1,2,0.5,0,0,0.0,0,0,0,2,1,0,0,2,5,1,1,Anthony Black
22024,1641710,0022400622,,ORL vs. POR,L,31,5,11,0.455,1,1,1.0,1,2,0.5,0,3,3,5,1,0,1,2,12,-8,1,Anthony Black
22024,1641710,0022400608,,ORL @ TOR,L,36,6,17,0.353,1,3,0.333,4,4,1.0,2,5,7,2,2,0,3,4,17,6,1,Anthony Black
22024,1641710,0022400593,,ORL vs. DEN,L,28,5,10,0.5,1,3,0.333,3,4,0.75,1,0,1,5,2,1,2,2,14,-8,1,Anthony Black
22024,1641710,0022400577,,ORL @ BOS,L,29,4,10,0.4,0,3,0.0,5,6,0.833,0,6,6,3,0,0,1,2,13,-6,1,Anthony Black
22024,1641710,0022400564,,ORL @ MIL,L,30,3,8,0.375,0,2,0.0,4,7,0.571,0,0,0,4,2,0,2,4,10,-17,1,Anthony Black
22024,1641710,0022400544,,ORL vs. PHI,W,37,7,18,0.389,0,2,0.0,3,6,0.5,1,5,6,6,2,0,3,2,17,1,1,Anthony Black
